id,name,type,path,audience_size,description
6008740787350,Business and industry,interests,Interests|Business and industry,1855154420,
6003402305839,Business,interests,Interests|Business and industry|Business,1194054660,
6009003307783,Business and finance,industries,Demographics|Work|Industries|Business and finance,8959103,"People with roles in business and finance. Examples include: accountant, accounting manager, auditor, sales manager, financial adviser, chief financial officer, dealer, agent etc."
6002714898572,Small business owners,behaviors,Behaviours|Digital activities|Small business owners,49481115,People who list themselves as small business owners or own small business Pages on Facebook
6020530281783,Business Page admins,behaviors,Behaviours|Digital activities|Facebook page admins|Business Page admins,42996981,People who are an admin of a business Page on Facebook
6008888998983,Education and libraries,industries,Demographics|Work|Industries|Education and libraries,12554655,"People with roles in education or libraries. Examples include: educator, instructor, teacher, professor, lecturer, research assistant, tutor, librarian, principal etc."
6012903320983,Transport and moving,industries,Demographics|Work|Industries|Transport and moving,8708235,"People with roles in transport and moving. Examples include: driver, operator, sea captain, flight attendant, pilot etc."
6012903127583,Food and restaurants,industries,Demographics|Work|Industries|Food and restaurants,7384745,"People with roles in food and restaurants. Examples include: cashier, server, waiter, waitress, chef, barista, line cook etc."
6012903167783,Computation and mathematics,industries,Demographics|Work|Industries|Computation and mathematics,7384659,"People with roles in computation and mathematics. Examples include: computer scientist, analyst, mathematician etc."
6012903126783,Architecture and engineering,industries,Demographics|Work|Industries|Architecture and engineering,7182440,"People with roles in architecture and engineering. Examples include: software engineer, technician, electrician, machinist etc."
6012903128783,Construction and extraction,industries,Demographics|Work|Industries|Construction and extraction,5467773,"People with roles in construction and extraction. Examples include: service technician, electrician, brick layer, mechanic, machine operator etc."
6012903159383,Healthcare and medical services,industries,Demographics|Work|Industries|Healthcare and medical services,11649082,"People with roles in healthcare and medical services. Examples include: physician, dentist, cardiologist etc."
6012903168383,Community and social services,industries,Demographics|Work|Industries|Community and social services,11164890,"People with roles in community and social services. Examples include: minister, social worker, counsellor, politician etc."
6012903160983,Installation and repair services,industries,Demographics|Work|Industries|Installation and repair services,7436203,"People with roles in installation and repair services. Examples include: technician, operator, mechanic, welder etc."
6008888961983,IT and technical services,industries,Demographics|Work|Industries|IT and technical services,7384659,"People with roles in IT and technical services. Examples include: IT technician, web developer, IT consultant etc."
6012903299983,"Farming, fishing and forestry",industries,Demographics|Work|Industries|"Farming, fishing and forestry",4567371,"People with roles in farming, fishing and forestry. Examples include: farmer, rider, crew member, handyman etc."
6012903317583,Cleaning and maintenance services,industries,Demographics|Work|Industries|Cleaning and maintenance services,2810130,"People with roles in cleaning and maintenance. Examples include: caretaker, housekeeper, gardener, handyman etc."
6007078565383,New smartphone and tablet users,behaviors,Behaviours|Mobile Device User|New smartphone and tablet users,171790299,People who are new smartphone or tablet users.
6020530280983,Community and club Page admins,behaviors,Behaviours|Digital activities|Facebook page admins|Community and club Page admins,24876755,People who are an admin of a community and club Page on Facebook
6020530139383,Travel and tourism Page admins,behaviors,Behaviours|Digital activities|Facebook page admins|Travel and tourism Page admins,19996366,People who are an admin of a travel and tourism Page on Facebook
6012901802383,"Arts, entertainment, sport and media",industries,Demographics|Work|Industries|"Arts, entertainment, sport and media",12313182,"People with roles in the arts, entertainment, sport and media. Examples include: photographer, artist, actor, actress, singer etc."
6020568271383,Health and beauty Page admins,behaviors,Behaviours|Digital activities|Facebook page admins|Health and beauty Page admins,9939628,People who are an admin of a health and beauty Page on Facebook
6012903167183,"Life, physical and social sciences",industries,Demographics|Work|Industries|"Life, physical and social sciences",5868938,"People with roles in life, physical and social sciences. Examples include: professor, chemist, psychologist, geologist etc."
6020530269183,Food and restaurant Page admins,behaviors,Behaviours|Digital activities|Facebook page admins|Food and restaurant Page admins,2372663,People who are an admin of a food and restaurant Page on Facebook
6004383049972,Facebook access (mobile): smartphones and tablets,behaviors,Behaviours|Mobile Device User|Facebook access (mobile): smartphones and tablets,2032593414,People who primarily access Facebook using a smartphone or tablet device
